area ID,ISO 3166-1 alpha-2,MapCode ENTSO-E,primary AreaName ENTSO-E,primary concept,EU memberstate,EU inside,15min,30min,60min,EIC,meaning cf. ENTSO-E,country,bidding zone,bidding zone aggregation,control area,market balance area,load from ENTSO-E TP,generation from ENTSOE-TP,price from ENTSO-E TP,generation from TSO,price from TSO,load from ENTSO-E data portal,load from TSO,Capacity from OPSD
AT,AT,AT,Austria,country,True,True,True,False,True,10YAT-APG------L,"Austria, APG BZ / CA / MBA",Austria,APG,,APG,APG,True,True,True,True,False,True,False,False
BA,BA,,,country,False,False,False,False,True,10YBA-JPCC-----D,"Bosnia Herzegovina, NOS BiH BZ / CA / MBA",Bosnia Herzegovina,NOS BiH,,NOS BiH,NOS BiH,False,False,False,False,False,True,False,False
BE,BE,BE,Belgium,country,True,True,False,False,True,10YBE----------2,"Belgium, Elia BZ / CA / MBA",Belgium,Elia,,Elia,Elia,True,True,False,False,False,True,False,False
BG,BG,BG,Bulgaria,country,True,True,False,False,True,10YCA-BULGARIA-R,"Bulgaria, ESO BZ / CA / MBA",Bulgaria,ESO,,ESO,ESO,True,True,False,False,False,True,False,False
CH,CH,CH,Switzerland,country,False,False,False,False,True,10YCH-SWISSGRIDZ,"Switzerland, Swissgrid BZ / CA / MBA",Switzerland,swissgrid,,swissgrid,swissgrid,True,True,False,False,False,True,False,False
CS,,,,country,False,False,False,False,True,,,Serbia and Montenegro,,,,,False,False,False,False,False,True,False,False
CY,CY,CY,Cyprus,country,True,True,False,True,False,10YCY-1001A0003J,"Cyprus, Cyprus TSO BZ / CA / MBA",Cyprus,Cyprus TSO,,Cyprus TSO,Cyprus TSO,True,True,False,False,False,True,False,False
CZ,CZ,CZ,Czech Republic,country,True,True,False,False,True,10YCZ-CEPS-----N,"Czech Republic, CEPS BZ / CA/ MBA",Czech Republic,CEPS,,CEPS,CEPS,True,True,False,True,False,True,False,False
DE,DE,DE,Germany,country,True,True,True,False,False,10Y1001A1001A83F,Germany,Germany,,,,,True,True,False,False,False,True,False,True
DE_50hertz,,DE_50HzT,50Hertz CA,control area,False,True,True,False,False,10YDE-VE-------2,"50Hertz CA, DE(50HzT) BZA",,,DE(50HzT),50Hertz,,True,True,False,True,False,False,False,False
DE_amprion,,DE_Amprion,Amprion CA,control area,False,True,True,False,False,10YDE-RWENET---I,Amprion CA,,,,Amprion,,True,True,False,True,False,False,False,False
DE_tennet,,DE_TenneT_GER,TenneT GER CA,control area,False,True,True,False,False,10YDE-EON------1,TenneT GER CA,,,,TenneT GER,,True,True,False,True,False,False,False,False
DE_transnetbw,,DE_TransnetBW,TransnetBW CA,control area,False,True,True,False,False,10YDE-ENBW-----N,TransnetBW CA,,,,TransnetBW,,True,True,False,True,False,False,False,False
DE_AT_LU,,,DE-AT-LU,bidding zone,False,True,False,False,True,10Y1001A1001A63L,DE-AT-LU BZ,,DE-AT-LU,,,,True,True,True,False,False,False,False,False
DK,DK,DK,Denmark,country,True,True,False,False,True,10Y1001A1001A65H,Denmark,Denmark,,,,,True,True,False,True,False,True,False,False
DK_1,,DK1,DK1  BZ,bidding zone,False,True,False,False,True,10YDK-1--------W,DK1 BZ / MBA,,DK1,,,DK1,True,True,True,True,True,False,True,False
DK_2,,DK2,DK2 BZ,bidding zone,False,True,False,False,True,10YDK-2--------M,DK2 BZ / MBA,,DK2,,,DK2,True,True,True,True,True,False,True,False
DK_energinet,,DK,,control area,False,True,False,False,True,10Y1001A1001A796,"Denmark, Energinet CA",,,,Energinet,,True,True,False,True,False,False,False,False
EE,EE,EE,Estonia,country,True,True,False,False,True,10Y1001A1001A39I,"Estonia, Elering BZ / CA / MBA",Estonia,Elering,,Elering,Elering,True,True,False,False,False,True,False,False
ES,ES,ES,Spain,country,True,True,False,False,True,10YES-REE------0,"Spain, REE BZ / CA / MBA",Spain,REE,,REE,REE,True,True,False,False,False,True,False,False
FI,FI,FI,Finland,country,True,True,False,False,True,10YFI-1--------U,"Finland, Fingrid BZ / CA / MBA",Finland,Fingrid,,Fingrid,Fingrid,True,True,False,False,False,True,False,False
FR,FR,FR,France,country,True,True,False,False,True,10YFR-RTE------C,"France, RTE BZ / CA / MBA",France,RTE,,RTE,RTE,True,True,False,True,False,True,False,False
GB_UKM,GB,GB,United Kingdom,country,False,False,False,True,False,GB,,United Kingdom,,,,,True,True,False,False,False,True,False,True
GB_GBN,,GB,National Grid BZ,country,False,False,False,True,False,10YGB----------A,National Grid BZ / CA/ MBA,Great Britain,National Grid,,National Grid,National Grid,True,True,True,False,False,False,False,True
GB_NIR,,NIE,SONI CA,country,False,False,False,True,False,10Y1001A1001A016,"Northern Ireland, SONI CA",Northern Ireland,,,SONI,,True,True,False,False,False,False,False,True
GB_EAW,,,,country,False,False,False,True,False,,,England and Wales,,,,,False,False,False,False,False,False,True,False
GB_SCT,,,,country,False,False,False,True,False,,,Scotland,,,,,False,False,False,False,False,False,False,False
GR,GR,GR,Greece,country,True,True,False,False,True,10YGR-HTSO-----Y,"Greece, IPTO BZ / CA/ MBA",Greece,IPTO,,IPTO,IPTO,True,True,False,False,False,True,False,False
HR,HR,HR,Croatia,country,True,True,False,False,True,10YHR-HEP------M,"Croatia, HOPS BZ / CA / MBA",Croatia,HOPS,,HOPS,HOPS,True,False,False,False,False,True,False,False
HU,HU,HU,Hungary,country,True,True,True,False,False,10YHU-MAVIR----U,"Hungary, MAVIR CA / BZ / MBA",Hungary,MAVIR,,MAVIR,MAVIR,True,True,False,False,False,True,False,False
IE,IE,IE,Ireland,country,True,True,False,True,False,10YIE-1001A00010,"Ireland, EirGrid CA",Ireland,,,EirGrid,,True,True,False,False,False,True,False,False
IE_sem,,IE_SEM,Ireland - (SEM) BZ,bidding zone,False,True,False,True,False,10Y1001A1001A59C,Ireland (SEM) BZ / MBA,,Ireland - (SEM),,,Ireland - (SEM),True,True,True,False,False,False,False,False
IS,IS,,,country,False,False,False,False,True,IS,Iceland,Iceland,,,,,False,False,False,False,False,True,False,False
IT,IT,IT,Italy,country,True,True,False,False,True,10YIT-GRTN-----B,"Italy, IT CA / MBA",Italy,,,Italy,Italy,True,True,False,True,False,True,False,False
IT_BRNN,,IT_BRNN,IT-Brindisi BZ,bidding zone,False,True,False,False,True,10Y1001A1001A699,IT-Brindisi BZ,,IT-Brindisi,,,,False,True,True,False,False,False,False,False
IT_CNOR,,IT_CNOR,IT-Centre-North BZ,bidding zone,False,True,False,False,True,10Y1001A1001A70O,IT-Centre-North BZ,,IT-Centre-North,,,,True,True,True,False,False,False,False,False
IT_CSUD,,IT_CSUD,IT-Centre-South BZ,bidding zone,False,True,False,False,True,10Y1001A1001A71M,IT-Centre-South BZ,,IT-Centre-South,,,,True,True,True,False,False,False,False,False
IT_FOGN,,IT_FOGN,IT-Foggia BZ,bidding zone,False,True,False,False,True,10Y1001A1001A72K,IT-Foggia BZ,,IT-Foggia,,,,False,True,True,False,False,False,False,False
IT_GR,,IT_GR,IT-GR BZ,bidding zone,False,True,False,False,True,10Y1001A1001A66F,IT-GR BZ,,IT-GR,,,,False,False,True,False,False,False,False,False
IT_NORD,,IT_NORD,IT-North BZ,bidding zone,False,True,False,False,True,10Y1001A1001A73I,IT-North BZ,,IT-North,,,,True,True,True,False,False,False,False,False
IT_NORD_AT,,IT_NORD_AT,IT-North-AT BZ,bidding zone,False,True,False,False,True,10Y1001A1001A80L,IT-North-AT BZ,,IT-North-AT,,,,False,False,True,False,False,False,False,False
IT_NORD_CH,,IT_NORD_CH,IT-North-CH BZ,bidding zone,False,True,False,False,True,10Y1001A1001A68B,IT-North-CH BZ,,IT-North-CH,,,,False,False,True,False,False,False,False,False
IT_NORD_FR,,IT_NORD_FR,IT-North-FR BZ,bidding zone,False,True,False,False,True,10Y1001A1001A81J,IT-North-FR BZ,,IT-North-FR,,,,False,False,True,False,False,False,False,False
IT_NORD_SI,,IT_NORD_SI,IT-North-SI BZ,bidding zone,False,True,False,False,True,10Y1001A1001A67D,IT-North-SI BZ,,IT-North-SI,,,,False,False,True,False,False,False,False,False
IT_PRGP,,IT_PRGP,IT-Priolo BZ,bidding zone,False,True,False,False,True,10Y1001A1001A76C,IT-Priolo BZ,,IT-Priolo,,,,False,True,True,False,False,False,False,False
IT_ROSN,,IT_ROSN,IT-Rossano BZ,bidding zone,False,True,False,False,True,10Y1001A1001A77A,IT-Rossano BZ,,IT-Rossano,,,,False,True,True,False,False,False,False,False
IT_SACO_AC,,IT_SACO_AC,Italy_Saco_AC,bidding zone,False,True,False,False,True,10Y1001A1001A885,Italy_Saco_AC,,Italy_Saco_AC,,,,False,False,True,False,False,False,False,False
IT_SACO_DC,,IT_SACO_DC,Italy_Sacodc,bidding zone,False,True,False,False,True,10Y1001A1001A893,Italy_Saco_DC,,Italy_Sacodc,,,,False,False,True,False,False,False,False,False
IT_SARD,,IT_SARD,IT-Sardinia BZ,bidding zone,False,True,False,False,True,10Y1001A1001A74G,IT-Sardinia BZ,,IT-Sardinia,,,,True,True,True,False,False,False,False,False
IT_SICI,,IT_SICI,IT-Sicily BZ,bidding zone,False,True,False,False,True,10Y1001A1001A75E,IT-Sicily BZ,,IT-Sicily,,,,True,True,True,False,False,False,False,False
IT_SUD,,IT_SUD,IT-South BZ,bidding zone,False,True,False,False,True,10Y1001A1001A788,IT-South BZ,,IT-South,,,,True,True,True,False,False,False,False,False
